2021/07/08 02:43:04.27578am	/vms	POST	200	518500
2021/07/08 02:43:09.77388am	/vms	POST	400	579800
2021/07/08 02:43:16.0146am	/vms	POST	400	707700
2021/07/08 02:43:24.81671am	/vms/VM1/shutdown	PATCH	400	0
2021/07/08 02:43:44.21564am	/vms	GET	200	0
2021/07/09 12:40:11.0528am	/vms	POST	200	782400
2021/07/09 12:43:31.63007am	/vms	POST	200	5793600
2021/07/09 12:46:42.80253am	/vms	POST	200	1097300	1a109aa2-b3e7-4459-9bd8-9da565a81a1d
2021/07/09 01:25:05.90196am	/vms	POST	200	1967300	e2f179ca-ab57-4b55-b181-38d7d63f8446
2021/07/10 06:01:34.11602pm	/vms	POST	200	60849600700	843db710-5dff-4a81-bb66-f696cfc6136c
2021/07/10 06:31:29.26518pm	/vms	POST	200	21184855100	0eae8eda-e1e9-4dee-a580-1de62375f34e
2021/07/10 06:32:06.05662pm	/vms	POST	200	9240094100	ff13857f-ea43-4927-944a-88cc3cdd684b
2021/07/10 06:34:19.16288pm	/vms	POST	200	4340290300	fe4f68f1-a023-4734-80e2-d11b13d94f23
2021/07/10 06:35:42.97857pm	/vms	POST	400	35630577400	33b77839-a994-4b04-ba3c-76817412185c
2021/07/10 06:36:58.2365pm	/vms	POST	400	37965621200	330738f8-9c9c-49a8-9741-38a7f5e1f445
2021/07/10 06:38:37.34551pm	/vms	POST	400	34799914400	601905a4-88c3-420f-8408-0c551ce1d521
2021/07/10 06:43:46.41054pm	/vms	POST	200	3524132700	661efb5c-46bb-4c36-aff7-88776175667c
2021/07/10 06:44:25.31477pm	/vms	POST	400	405500	b2970c50-3945-4ee3-bd79-21171a550254
2021/07/10 06:45:50.61565pm	/vms	POST	400	878000	493861e9-c2d0-4d4d-9bea-ecd12dcd160b
2021/07/10 06:48:33.16973pm	/vms	POST	200	7713222400	f64500bd-8afd-4b60-bfb2-1b715b9ae8d2
2021/07/10 06:54:04.41586pm	/vms	POST	200	6555189000	7203cf47-6a23-4748-b0c6-6f0c3f68c020
2021/07/10 06:56:05.65pm	/vms	POST	200	2269952600	ba4782d3-29ab-426a-b9d4-520ac854d136
2021/07/10 06:58:20.42489pm	/vms	POST	200	3279399400	4880e592-c94e-409c-bb97-c89a053f32e5
2021/07/10 07:00:17.61985pm	/vms	POST	200	5128513700	94c7042a-62ad-4aa7-9d8a-7dbcdf229ec7
2021/07/10 07:00:45.65096pm	/vms	POST	200	1132800	8d74663a-6933-4981-98bd-6873e67ee7ed
2021/07/10 07:01:35.61141pm	/vms	POST	200	1201200	b52ecba6-3d3a-48ec-8d3a-af157246bf97
2021/07/10 07:12:52.69559pm	/vms	POST	401	3079500	b406cc8a-2405-42c4-a101-cf060f1fe6d4
2021/07/18 04:55:46.3464pm	/vms	POST	401	541200	3d89882a-407d-412b-a9a4-920bfa1629ff
2021/07/18 04:55:53.06373pm	/vms/VM1/shutdown	PATCH	401	0	8e440065-7808-4af2-b4fc-d1133f453b34
2021/07/18 04:57:41.36971pm	/vms	POST	400	1003900	fcd4a80e-09a4-42e1-bdd8-41ccf2c77a43
2021/07/18 04:58:29.14611pm	/vms	POST	400	65712140900	3a279126-5a70-40cd-b329-89cd89a0e7a3
2021/07/18 05:00:15.64376pm	/vms	POST	400	8062486500	4764e293-f4e0-43e7-9e38-39da56c1ddd1
2021/07/18 05:00:57.41865pm	/vms	POST	400	36892845700	074c7aad-a575-40e6-bbef-1508ef957ca6
2021/07/18 05:01:37.8512pm	/vms	POST	400	77030956900	85c10fad-dd31-40d8-8942-e2e051b22a7d
